152,8410857,7937154,8472223,4016066,9891513,8064216,8351840,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070
282,11721802,7665423,7665423,10808393,11310708,623582,6547607,2605373,688799,623582,10517456,9677940,6547607,11310708,11536575,4724392,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070
321,1461800,7379845,9243286,7379845,627849,5000759,11774753,10932288,4813286,9816501,11183434,10000188,10000188,9759248,2630133,5625302,1020910,9759248,10570664,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070
809,2347616,5707010,6339286,5492003,1207574,5707010,5492003,1207574,2262443,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070
870,11382694,5999244,6611583,7412272,4343647,5546383,3432696,9589237,6163411,8952725,6787506,10234567,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070
2410,1991652,3010258,8734237,5529566,12328639,3010258,8829154,11536411,6594315,12182628,11573165,1156153,12127372,7667925,5949480,3407500,6808667,7581289,11573165,3242952,11573165,3475210,2843593,904577,5595070,5595070,5595070,5595070,5595070,5595070
2956,7116759,7116759,8778275,5039457,5071633,9105860,1866761,7644819,1284838,745619,7358377,7535052,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070
3866,3738221,8326767,3366910,3366910,9638971,12222697,12222697,9796213,10241163,6240908,9796213,12035835,5641873,9219797,12417665,10163687,10163687,8321581,6570247,12572769,4428979,2275245,6600260,12553122,1429449,12215314,1429449,1290204,9759810,447451
7277,11977450,8343022,10813894,11826481,465594,11550594,2354126,12543036,11977450,12226234,10721620,6561610,5482394,530503,6543509,12357063,12441577,6775644,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070
7944,10039927,11659460,7598016,9607731,9555054,4280956,9089404,6884658,6795431,4280956,5680299,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070
8192,1306627,4538161,9715746,4538161,6857974,9846407,3132866,250407,9631903,2972034,5961856,277654,1152130,8654431,2314184,8012537,6208283,544123,7406108,1575758,8957171,6208283,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070
8408,9988978,4244544,665393,1195177,1192063,665359,13035792,4502347,10242192,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070
8464,70466,2914396,2914396,2686621,2094230,4157502,2076583,4157502,2093281,4589918,8941084,463417,476783,11246931,11246931,11246931,9024875,9024875,9024875,8673091,8994530,8673091,11055796,115517,10322913,10322913,10322913,4569637,4569637,4569637
8637,5639030,8910564,5703905,7334003,8693860,11359278,251404,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070
8760,5813336,8940662,11075083,5813336,4184067,7195147,11075083,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070
9015,3703072,2775264,18284,924117,1222930,6268272,5300682,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070
9035,5831736,1527698,7432186,7432186,8260171,2307115,1414382,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070
9079,153030,7886311,2203597,4376203,2341287,3964013,1274512,4403361,11733620,4229747,11733620,3730495,3315312,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070
10146,1239063,1239063,1239063,11493702,11493702,1239063,1239063,3261925,5139229,10832838,10832838,10832838,2856736,3057411,3057411,3057411,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070
10836,4218750,59243,4945981,764094,336653,8094014,5162355,988711,5320360,1402358,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070
11092,6017984,8057645,2969882,8545184,519838,9802330,7580109,6452394,426384,9041374,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070,5595070
